family,count,status,vendor_profile,slugs
miro-business,1,queued,,miro-business
miro-starter,1,queued,,miro-starter
mj-mega,1,queued,,mj-mega
mj-pro,1,queued,,mj-pro
mj-standard,1,queued,,mj-standard
moarr-everything,1,queued,,moarr-everything
moarr-team,1,queued,,moarr-team
mono-myfonts,1,queued,,mono-myfonts
mono-team,1,queued,,mono-team
mrmst-tb,1,queued,,mrmst-tb-sub-studio
mrmst-tb5,1,queued,,mrmst-tb5-studio
ms-project,1,queued,,ms-project-pro-2024
ms-windows,1,queued,,ms-windows-11-pro
mscopilot-m365,1,queued,,mscopilot-m365
mvls-personal,1,queued,,mvls-personal-y
n8n-pro,1,queued,,n8n-pro
n8n-starter,1,queued,,n8n-starter
ni-rx,1,queued,,ni-rx-adv
notion-business,1,queued,,notion-business
notion-enterprise,1,queued,,notion-enterprise
openai-api,1,queued,,openai-api-balance
openai-enterprise,1,queued,,openai-enterprise
openrouter-balance,1,queued,,openrouter-balance
photon-ent,1,queued,,photon-ent
postman-professional,1,queued,,postman-professional
postman-solo,1,queued,,postman-solo
principle-license,1,queued,,principle-license
principle-updates,1,queued,,principle-updates
procr-dreams,1,queued,,procr-dreams
procr-ipad,1,queued,,procr-ipad
recraft-advanced,1,queued,,recraft-advanced
recraft-ent,1,queued,,recraft-ent
recraft-pro,1,queued,,recraft-pro
recraft-team,1,queued,,recraft-team
rive-cadet,1,queued,,rive-cadet
rive-ent,1,queued,,rive-ent
rive-voyager,1,queued,,rive-voyager
rizom-rs,1,queued,,rizom-rs-sub
rizom-vs,1,queued,,rizom-vs-sub
rlsn-cc5,1,queued,,rlsn-cc5
rlsn-iclone8,1,queued,,rlsn-iclone8
rlsn-suite365,1,queued,,rlsn-suite365
runway-ent,1,queued,,runway-ent
runway-max,1,queued,,runway-max
runway-pro,1,queued,,runway-pro
runway-standard,1,queued,,runway-standard
sentry-business,1,queued,,sentry-business
sentry-team,1,queued,,sentry-team
sketch-mac,1,queued,,sketch-mac
sketch-pro,1,queued,,sketch-pro
sketch-standard,1,queued,,sketch-standard
sketchup-go,1,queued,,sketchup-go
slack-business,1,queued,,slack-business-plus
slack-pro,1,queued,,slack-pro
spdtr-ent,1,queued,,spdtr-ent
spdtr-indie,1,queued,,spdtr-indie
spine-essential,1,queued,,spine-essential
spine-pro,1,queued,,spine-pro
suno-premier,1,queued,,suno-premier
suno-pro,1,queued,,suno-pro
teamviewer-business,1,queued,,teamviewer-business
teamviewer-corporate,1,queued,,teamviewer-corporate
teamviewer-premium,1,queued,,teamviewer-premium
teamviewer-remote,1,queued,,teamviewer-remote-access
think-cell,1,queued,,think-cell-suite
tlstr-screenflow,1,queued,,tlstr-screenflow
tlstr-vantage,1,queued,,tlstr-vantage
topaz-gigapixel,1,queued,,topaz-gigapixel
topaz-photo,1,queued,,topaz-photo
topaz-studio,1,queued,,topaz-studio
topaz-video,1,queued,,topaz-video
ue-realityscan,1,queued,,ue-realityscan
ue-sub,1,queued,,ue-sub
unity-ent,1,queued,,unity-ent
unity-pro,1,queued,,unity-pro
vegas-edit,1,queued,,vegas-edit-sub
vegas-post,1,queued,,vegas-post-sub
vegas-suite,1,queued,,vegas-suite-perp
windsurf-pro,1,queued,,windsurf-pro
windsurf-teams,1,queued,,windsurf-teams
winrar-license,1,queued,,winrar-license
wordpress-business,1,queued,,wordpress-business
wordpress-commerce,1,queued,,wordpress-commerce
wwise-platinum,1,queued,,wwise-platinum
wwise-premium,1,queued,,wwise-premium
wwise-pro,1,queued,,wwise-pro
zeplin-advanced,1,queued,,zeplin-advanced
zeplin-ent,1,queued,,zeplin-ent
me-adselfservice,1,done,,me-adselfservice-plus
me-recoverymanager,1,done,,me-recoverymanager-plus
me-ad360,1,done,,me-ad360
me-log360,1,done,,me-log360
me-eventlog,1,done,,me-eventlog-analyzer
