old_sku;new_sku;vendor;name;kind;product;plan;term;unit;variant
JB-PLG-php-inspections-ea-ultimate-IND;JB-ADD-PHPIEU-IND-1Y-USER;JetBrains;JetBrains Php Inspections (EA Ultimate) (личная);ADD;PHPIEU;IND;1Y;USER;
JB-PHPSTORM-IND;JB-LIC-PHPSTORM-IND-1Y-USER;JetBrains;JetBrains PhpStorm (личная лицензия);LIC;PHPSTORM;IND;1Y;USER;
JB-PHPSTORM-ORG;JB-LIC-PHPSTORM-TEAM-1Y-USER;JetBrains;JetBrains PhpStorm для организаций;LIC;PHPSTORM;TEAM;1Y;USER;
JB-PLG-polaris-tomcat-server-ORG;JB-ADD-POLARITS-TEAM-1Y-USER;JetBrains;JetBrains Polaris Tomcat Server;ADD;POLARITS;TEAM;1Y;USER;
JB-PLG-polaris-tomcat-server-IND;JB-ADD-POLARITS-IND-1Y-USER;JetBrains;JetBrains Polaris Tomcat Server (личная);ADD;POLARITS;IND;1Y;USER;
JB-PLG-polish-language-pack-lokalizacja-ide-na-j-zyk-po-ORG;JB-ADD-POLISHLPLINJ-TEAM-1Y-USER;JetBrains;JetBrains Polish Language Pack / Lokalizacja IDE Na Język Polski;ADD;POLISHLPLINJ;TEAM;1Y;USER;
JB-PLG-polish-language-pack-lokalizacja-ide-na-j-zyk-po-IND;JB-ADD-POLISHLPLINJ-IND-1Y-USER;JetBrains;JetBrains Polish Language Pack / Lokalizacja IDE Na Język Polski (личная);ADD;POLISHLPLINJ;IND;1Y;USER;
JB-PLG-pomodoro-healthy-exercise-timer-ORG;JB-ADD-POMODOHET-TEAM-1Y-USER;JetBrains;JetBrains Pomodoro Healthy Exercise Timer;ADD;POMODOHET;TEAM;1Y;USER;
JB-PLG-pomodoro-healthy-exercise-timer-IND;JB-ADD-POMODOHET-IND-1Y-USER;JetBrains;JetBrains Pomodoro Healthy Exercise Timer (личная);ADD;POMODOHET;IND;1Y;USER;
JB-PLG-portuguese-language-pack-pacote-de-idioma-portug-ORG;JB-ADD-PORTUGLPPDIP-TEAM-1Y-USER;JetBrains;JetBrains Portuguese Language Pack / Pacote De Idioma Português;ADD;PORTUGLPPDIP;TEAM;1Y;USER;
JB-PLG-portuguese-language-pack-pacote-de-idioma-portug-IND;JB-ADD-PORTUGLPPDIP-IND-1Y-USER;JetBrains;JetBrains Portuguese Language Pack / Pacote De Idioma Português (личная);ADD;PORTUGLPPDIP;IND;1Y;USER;
JB-PLG-procfile-ORG;JB-ADD-PROCFILE-TEAM-1Y-USER;JetBrains;JetBrains Procfile;ADD;PROCFILE;TEAM;1Y;USER;
JB-PLG-procfile-IND;JB-ADD-PROCFILE-IND-1Y-USER;JetBrains;JetBrains Procfile (личная);ADD;PROCFILE;IND;1Y;USER;
JB-PLG-project-intelligence-bridge-ORG;JB-ADD-PROJECIB-TEAM-1Y-USER;JetBrains;JetBrains Project Intelligence Bridge;ADD;PROJECIB;TEAM;1Y;USER;
JB-PLG-project-intelligence-bridge-IND;JB-ADD-PROJECIB-IND-1Y-USER;JetBrains;JetBrains Project Intelligence Bridge (личная);ADD;PROJECIB;IND;1Y;USER;
JB-PYCHARM-PRO-IND;JB-LIC-PYCHARMPRO-IND-1Y-USER;JetBrains;JetBrains PyCharm Pro (личная лицензия);LIC;PYCHARMPRO;IND;1Y;USER;
JB-PYCHARM-PRO-ORG;JB-LIC-PYCHARMPRO-TEAM-1Y-USER;JetBrains;JetBrains PyCharm Pro для организаций;LIC;PYCHARMPRO;TEAM;1Y;USER;
JB-PLG-pyui-helper-ORG;JB-ADD-PYUIHELPER-TEAM-1Y-USER;JetBrains;JetBrains PyUI Helper;ADD;PYUIHELPER;TEAM;1Y;USER;
JB-PLG-pyui-helper-IND;JB-ADD-PYUIHELPER-IND-1Y-USER;JetBrains;JetBrains PyUI Helper (личная);ADD;PYUIHELPER;IND;1Y;USER;
JB-PLG-python-bytecode-ORG;JB-ADD-PYTHONB-TEAM-1Y-USER;JetBrains;JetBrains Python Bytecode;ADD;PYTHONB;TEAM;1Y;USER;
JB-PLG-python-bytecode-IND;JB-ADD-PYTHONB-IND-1Y-USER;JetBrains;JetBrains Python Bytecode (личная);ADD;PYTHONB;IND;1Y;USER;
JB-PLG-qdrant-ORG;JB-ADD-QDRANT-TEAM-1Y-USER;JetBrains;JetBrains Qdrant;ADD;QDRANT;TEAM;1Y;USER;
JB-PLG-qdrant-IND;JB-ADD-QDRANT-IND-1Y-USER;JetBrains;JetBrains Qdrant (личная);ADD;QDRANT;IND;1Y;USER;
JB-PLG-qmleditor-ORG;JB-ADD-QMLEDITOR-TEAM-1Y-USER;JetBrains;JetBrains QmlEditor;ADD;QMLEDITOR;TEAM;1Y;USER;
JB-PLG-qmleditor-IND;JB-ADD-QMLEDITOR-IND-1Y-USER;JetBrains;JetBrains QmlEditor (личная);ADD;QMLEDITOR;IND;1Y;USER;
JB-QODANA;JB-LIC-QODANA-TEAM-1Y-USER;JetBrains;JetBrains Qodana для организаций;LIC;QODANA;TEAM;1Y;USER;
JB-PLG-qt-style-sheets-editor-ORG;JB-ADD-QTSSE-TEAM-1Y-USER;JetBrains;JetBrains Qt Style Sheets Editor;ADD;QTSSE;TEAM;1Y;USER;
JB-PLG-qt-style-sheets-editor-IND;JB-ADD-QTSSE-IND-1Y-USER;JetBrains;JetBrains Qt Style Sheets Editor (личная);ADD;QTSSE;IND;1Y;USER;
JB-PLG-quarkus-assistant-IND;JB-ADD-QUARKUA-IND-1Y-USER;JetBrains;JetBrains Quarkus Assistant (личная);ADD;QUARKUA;IND;1Y;USER;
JB-PLG-queryflag-ORG;JB-ADD-QUERYFLAG-TEAM-1Y-USER;JetBrains;JetBrains QueryFlag;ADD;QUERYFLAG;TEAM;1Y;USER;
JB-PLG-queryflag-IND;JB-ADD-QUERYFLAG-IND-1Y-USER;JetBrains;JetBrains QueryFlag (личная);ADD;QUERYFLAG;IND;1Y;USER;
JB-PLG-queryflag-3-ORG;JB-ADD-QUERYFLAG3-TEAM-1Y-USER;JetBrains;JetBrains QueryFlag €3;ADD;QUERYFLAG3;TEAM;1Y;USER;
JB-PLG-rdf-and-sparql-ORG;JB-ADD-RDFANDSPARQL-TEAM-1Y-USER;JetBrains;JetBrains RDF and SPARQL;ADD;RDFANDSPARQL;TEAM;1Y;USER;
JB-PLG-rdf-and-sparql-IND;JB-ADD-RDFANDSPARQL-IND-1Y-USER;JetBrains;JetBrains RDF and SPARQL (личная);ADD;RDFANDSPARQL;IND;1Y;USER;
JB-PLG-rainbow-brackets-ORG;JB-ADD-RAINBOB-TEAM-1Y-USER;JetBrains;JetBrains Rainbow Brackets;ADD;RAINBOB;TEAM;1Y;USER;
JB-PLG-rainbow-brackets-IND;JB-ADD-RAINBOB-IND-1Y-USER;JetBrains;JetBrains Rainbow Brackets (личная);ADD;RAINBOB;IND;1Y;USER;
JB-PLG-rainbow-brackets-theme-ORG;JB-ADD-RAINBOBT-TEAM-1Y-USER;JetBrains;JetBrains Rainbow Brackets Theme;ADD;RAINBOBT;TEAM;1Y;USER;
JB-PLG-rancher-ORG;JB-ADD-RANCHER-TEAM-1Y-USER;JetBrains;JetBrains Rancher;ADD;RANCHER;TEAM;1Y;USER;
JB-PLG-rancher-IND;JB-ADD-RANCHER-IND-1Y-USER;JetBrains;JetBrains Rancher (личная);ADD;RANCHER;IND;1Y;USER;
JB-PLG-redoschecker-ORG;JB-ADD-REDOSCHECKER-TEAM-1Y-USER;JetBrains;JetBrains ReDoSChecker;ADD;REDOSCHECKER;TEAM;1Y;USER;
JB-PLG-redoschecker-IND;JB-ADD-REDOSCHECKER-IND-1Y-USER;JetBrains;JetBrains ReDoSChecker (личная);ADD;REDOSCHECKER;IND;1Y;USER;
JB-RESHARPER-IND;JB-LIC-RESHARPER-IND-1Y-USER;JetBrains;JetBrains ReSharper (личная лицензия);LIC;RESHARPER;IND;1Y;USER;
JB-RESHARPER-ORG;JB-LIC-RESHARPER-TEAM-1Y-USER;JetBrains;JetBrains ReSharper для организаций;LIC;RESHARPER;TEAM;1Y;USER;
JB-PLG-react-native-console-ORG;JB-ADD-REACTNC-TEAM-1Y-USER;JetBrains;JetBrains React Native Console;ADD;REACTNC;TEAM;1Y;USER;
JB-PLG-react-native-console-IND;JB-ADD-REACTNC-IND-1Y-USER;JetBrains;JetBrains React Native Console (личная);ADD;REACTNC;IND;1Y;USER;
JB-PLG-recap-ai-agent-sessions-ORG;JB-ADD-RECAPAAS-TEAM-1Y-USER;JetBrains;JetBrains Recap - AI Agent Sessions;ADD;RECAPAAS;TEAM;1Y;USER;
JB-PLG-recap-ai-agent-sessions-IND;JB-ADD-RECAPAAS-IND-1Y-USER;JetBrains;JetBrains Recap - AI Agent Sessions (личная);ADD;RECAPAAS;IND;1Y;USER;
JB-PLG-reclaim-ORG;JB-ADD-RECLAIM-TEAM-1Y-USER;JetBrains;JetBrains Reclaim;ADD;RECLAIM;TEAM;1Y;USER;
JB-PLG-reclaim-IND;JB-ADD-RECLAIM-IND-1Y-USER;JetBrains;JetBrains Reclaim (личная);ADD;RECLAIM;IND;1Y;USER;
JB-PLG-redis-ORG;JB-ADD-REDIS-TEAM-1Y-USER;JetBrains;JetBrains Redis;ADD;REDIS;TEAM;1Y;USER;
JB-PLG-redis-IND;JB-ADD-REDIS-IND-1Y-USER;JetBrains;JetBrains Redis (личная);ADD;REDIS;IND;1Y;USER;
JB-PLG-redis-client-ORG;JB-ADD-REDISCLIENT-TEAM-1Y-USER;JetBrains;JetBrains Redis Client;ADD;REDISCLIENT;TEAM;1Y;USER;
JB-PLG-redis-client-IND;JB-ADD-REDISCLIENT-IND-1Y-USER;JetBrains;JetBrains Redis Client (личная);ADD;REDISCLIENT;IND;1Y;USER;
JB-PLG-redis-manager-ORG;JB-ADD-REDISMANAGER-TEAM-1Y-USER;JetBrains;JetBrains Redis Manager;ADD;REDISMANAGER;TEAM;1Y;USER;
JB-PLG-redis-manager-IND;JB-ADD-REDISMANAGER-IND-1Y-USER;JetBrains;JetBrains Redis Manager (личная);ADD;REDISMANAGER;IND;1Y;USER;
JB-PLG-redis-cli-ORG;JB-ADD-REDISCLI-TEAM-1Y-USER;JetBrains;JetBrains Redis-Cli;ADD;REDISCLI;TEAM;1Y;USER;
JB-PLG-redis-cli-IND;JB-ADD-REDISCLI-IND-1Y-USER;JetBrains;JetBrains Redis-Cli (личная);ADD;REDISCLI;IND;1Y;USER;
JB-PLG-restful-all-ORG;JB-ADD-RESTFULALL-TEAM-1Y-USER;JetBrains;JetBrains Restful-all;ADD;RESTFULALL;TEAM;1Y;USER;
JB-PLG-restful-all-IND;JB-ADD-RESTFULALL-IND-1Y-USER;JetBrains;JetBrains Restful-all (личная);ADD;RESTFULALL;IND;1Y;USER;
JB-PLG-retrofit-assistant-ORG;JB-ADD-RETROFA-TEAM-1Y-USER;JetBrains;JetBrains Retrofit Assistant;ADD;RETROFA;TEAM;1Y;USER;
JB-PLG-retrofit-assistant-IND;JB-ADD-RETROFA-IND-1Y-USER;JetBrains;JetBrains Retrofit Assistant (личная);ADD;RETROFA;IND;1Y;USER;
JB-RIDER-IND;JB-LIC-RIDER-IND-1Y-USER;JetBrains;JetBrains Rider (личная лицензия);LIC;RIDER;IND;1Y;USER;
JB-RIDER-ORG;JB-LIC-RIDER-TEAM-1Y-USER;JetBrains;JetBrains Rider для организаций;LIC;RIDER;TEAM;1Y;USER;
JB-PLG-robot-framework-professional-ORG;JB-ADD-ROBOTFP-TEAM-1Y-USER;JetBrains;JetBrains Robot Framework Professional;ADD;ROBOTFP;TEAM;1Y;USER;
JB-PLG-robot-framework-professional-IND;JB-ADD-ROBOTFP-IND-1Y-USER;JetBrains;JetBrains Robot Framework Professional (личная);ADD;ROBOTFP;IND;1Y;USER;
JB-RUBYMINE-IND;JB-LIC-RUBYMINE-IND-1Y-USER;JetBrains;JetBrains RubyMine (личная лицензия);LIC;RUBYMINE;IND;1Y;USER;
JB-RUBYMINE-ORG;JB-LIC-RUBYMINE-TEAM-1Y-USER;JetBrains;JetBrains RubyMine для организаций;LIC;RUBYMINE;TEAM;1Y;USER;
JB-PLG-run-config-drift-detector-ORG;JB-ADD-RUNCDD-TEAM-1Y-USER;JetBrains;JetBrains Run Config Drift Detector;ADD;RUNCDD;TEAM;1Y;USER;
JB-PLG-run-config-drift-detector-IND;JB-ADD-RUNCDD-IND-1Y-USER;JetBrains;JetBrains Run Config Drift Detector (личная);ADD;RUNCDD;IND;1Y;USER;
JB-PLG-run-configuration-bridge-ORG;JB-ADD-RUNCB-TEAM-1Y-USER;JetBrains;JetBrains Run Configuration Bridge;ADD;RUNCB;TEAM;1Y;USER;
JB-PLG-run-configuration-bridge-IND;JB-ADD-RUNCB-IND-1Y-USER;JetBrains;JetBrains Run Configuration Bridge (личная);ADD;RUNCB;IND;1Y;USER;
JB-PLG-russian-language-pack-lokalizaciya-ide-na-russki-IND;JB-ADD-RUSSIALPLINR-IND-1Y-USER;JetBrains;JetBrains Russian Language Pack / Локализация IDE На Русский Язык (личная);ADD;RUSSIALPLINR;IND;1Y;USER;
JB-RUSTROVER-IND;JB-LIC-RUSTROVER-IND-1Y-USER;JetBrains;JetBrains RustRover (личная лицензия);LIC;RUSTROVER;IND;1Y;USER;
JB-RUSTROVER-ORG;JB-LIC-RUSTROVER-TEAM-1Y-USER;JetBrains;JetBrains RustRover для организаций;LIC;RUSTROVER;TEAM;1Y;USER;
JB-PLG-rusttool-ORG;JB-ADD-RUSTTOOL-TEAM-1Y-USER;JetBrains;JetBrains RustTool;ADD;RUSTTOOL;TEAM;1Y;USER;
JB-PLG-rusttool-IND;JB-ADD-RUSTTOOL-IND-1Y-USER;JetBrains;JetBrains RustTool (личная);ADD;RUSTTOOL;IND;1Y;USER;
JB-PLG-rustx-ORG;JB-ADD-RUSTX-TEAM-1Y-USER;JetBrains;JetBrains RustX;ADD;RUSTX;TEAM;1Y;USER;
JB-PLG-rustx-IND;JB-ADD-RUSTX-IND-1Y-USER;JetBrains;JetBrains RustX (личная);ADD;RUSTX;IND;1Y;USER;
JB-PLG-sparql-ORG;JB-ADD-SPARQL-TEAM-1Y-USER;JetBrains;JetBrains SPARQL;ADD;SPARQL;TEAM;1Y;USER;
JB-PLG-sparql-IND;JB-ADD-SPARQL-IND-1Y-USER;JetBrains;JetBrains SPARQL (личная);ADD;SPARQL;IND;1Y;USER;
JB-PLG-sql-optimizer-index-advisor-mysql-postgre-oracle-ORG;JB-ADD-SQLOIAMPO-TEAM-1Y-USER;JetBrains;JetBrains SQL Optimizer,Index Advisor MySQL/Postgre/Oracle, Tune by PawSQL;ADD;SQLOIAMPO;TEAM;1Y;USER;
JB-PLG-sql-optimizer-index-advisor-mysql-postgre-oracle-IND;JB-ADD-SQLOIAMPO-IND-1Y-USER;JetBrains;JetBrains SQL Optimizer,Index Advisor MySQL/Postgre/Oracle, Tune by PawSQL (личная);ADD;SQLOIAMPO;IND;1Y;USER;
JB-PLG-sqldebugger-ORG;JB-ADD-SQLDEBUGGER-TEAM-1Y-USER;JetBrains;JetBrains SQLDebugger;ADD;SQLDEBUGGER;TEAM;1Y;USER;
JB-PLG-sqldebugger-IND;JB-ADD-SQLDEBUGGER-IND-1Y-USER;JetBrains;JetBrains SQLDebugger (личная);ADD;SQLDEBUGGER;IND;1Y;USER;
JB-PLG-sqlfluff-linter-ultimate-edition-ORG;JB-ADD-SQLFLULUE-TEAM-1Y-USER;JetBrains;JetBrains SQLFluff Linter (Ultimate Edition);ADD;SQLFLULUE;TEAM;1Y;USER;
JB-PLG-sqlfluff-linter-ultimate-edition-IND;JB-ADD-SQLFLULUE-IND-1Y-USER;JetBrains;JetBrains SQLFluff Linter (Ultimate Edition) (личная);ADD;SQLFLULUE;IND;1Y;USER;
JB-PLG-sqlformatter-ORG;JB-ADD-SQLFORMATTER-TEAM-1Y-USER;JetBrains;JetBrains SQLFormatter;ADD;SQLFORMATTER;TEAM;1Y;USER;
JB-PLG-sqlformatter-IND;JB-ADD-SQLFORMATTER-IND-1Y-USER;JetBrains;JetBrains SQLFormatter (личная);ADD;SQLFORMATTER;IND;1Y;USER;
JB-PLG-ssh-plus-ORG;JB-ADD-SSHPLUS-TEAM-1Y-USER;JetBrains;JetBrains SSH Plus;ADD;SSHPLUS;TEAM;1Y;USER;
JB-PLG-ssh-plus-IND;JB-ADD-SSHPLUS-IND-1Y-USER;JetBrains;JetBrains SSH Plus (личная);ADD;SSHPLUS;IND;1Y;USER;
JB-PLG-ssh-tool-ORG;JB-ADD-SSHTOOL-TEAM-1Y-USER;JetBrains;JetBrains SSH Tool;ADD;SSHTOOL;TEAM;1Y;USER;
JB-PLG-ssh-tool-IND;JB-ADD-SSHTOOL-IND-1Y-USER;JetBrains;JetBrains SSH Tool (личная);ADD;SSHTOOL;IND;1Y;USER;
JB-PLG-sshmatrix-IND;JB-ADD-SSHMATRIX-IND-1Y-USER;JetBrains;JetBrains SSHMatrix (личная);ADD;SSHMATRIX;IND;1Y;USER;
JB-PLG-safely-obfuscate-source-ORG;JB-ADD-SAFELYOS-TEAM-1Y-USER;JetBrains;JetBrains Safely Obfuscate Source;ADD;SAFELYOS;TEAM;1Y;USER;
JB-PLG-safely-obfuscate-source-IND;JB-ADD-SAFELYOS-IND-1Y-USER;JetBrains;JetBrains Safely Obfuscate Source (личная);ADD;SAFELYOS;IND;1Y;USER;
JB-PLG-salesforce-b2c-commerce-sfcc-ORG;JB-ADD-SALESFBCS-TEAM-1Y-USER;JetBrains;JetBrains Salesforce B2C Commerce (SFCC);ADD;SALESFBCS;TEAM;1Y;USER;
JB-PLG-salesforce-b2c-commerce-sfcc-IND;JB-ADD-SALESFBCS-IND-1Y-USER;JetBrains;JetBrains Salesforce B2C Commerce (SFCC) (личная);ADD;SALESFBCS;IND;1Y;USER;
JB-PLG-saltstack-ORG;JB-ADD-SALTSTACK-TEAM-1Y-USER;JetBrains;JetBrains SaltStack;ADD;SALTSTACK;TEAM;1Y;USER;
JB-PLG-save-ORG;JB-ADD-SAVE-TEAM-1Y-USER;JetBrains;JetBrains Save;ADD;SAVE;TEAM;1Y;USER;
JB-PLG-schema-registry-viewer-ORG;JB-ADD-SCHEMARV-TEAM-1Y-USER;JetBrains;JetBrains Schema Registry Viewer;ADD;SCHEMARV;TEAM;1Y;USER;
JB-PLG-scipio-erp-integration-ORG;JB-ADD-SCIPIOEI-TEAM-1Y-USER;JetBrains;JetBrains Scipio ERP Integration;ADD;SCIPIOEI;TEAM;1Y;USER;
JB-PLG-scipio-erp-integration-IND;JB-ADD-SCIPIOEI-IND-1Y-USER;JetBrains;JetBrains Scipio ERP Integration (личная);ADD;SCIPIOEI;IND;1Y;USER;
JB-PLG-screencodepro-ORG;JB-ADD-SCREENCODEPR-TEAM-1Y-USER;JetBrains;JetBrains ScreenCodePro;ADD;SCREENCODEPR;TEAM;1Y;USER;
JB-PLG-screencodepro-IND;JB-ADD-SCREENCODEPR-IND-1Y-USER;JetBrains;JetBrains ScreenCodePro (личная);ADD;SCREENCODEPR;IND;1Y;USER;
JB-PLG-screenshot-ORG;JB-ADD-SCREENSHOT-TEAM-1Y-USER;JetBrains;JetBrains Screenshot+;ADD;SCREENSHOT;TEAM;1Y;USER;
JB-PLG-screenshot-IND;JB-ADD-SCREENSHOT-IND-1Y-USER;JetBrains;JetBrains Screenshot+ (личная);ADD;SCREENSHOT;IND;1Y;USER;
JB-PLG-scriptdock-ORG;JB-ADD-SCRIPTDOCK-TEAM-1Y-USER;JetBrains;JetBrains ScriptDock;ADD;SCRIPTDOCK;TEAM;1Y;USER;
JB-PLG-scriptdock-IND;JB-ADD-SCRIPTDOCK-IND-1Y-USER;JetBrains;JetBrains ScriptDock (личная);ADD;SCRIPTDOCK;IND;1Y;USER;
JB-PLG-seleniumiq-ai-powered-test-automation-IND;JB-ADD-SELENIAPTA-IND-1Y-USER;JetBrains;JetBrains SeleniumIQ - AI-Powered Test Automation (личная);ADD;SELENIAPTA;IND;1Y;USER;
JB-PLG-sentry-IND;JB-ADD-SENTRY-IND-1Y-USER;JetBrains;JetBrains Sentry (личная);ADD;SENTRY;IND;1Y;USER;
JB-PLG-sequencediagram-c-c-ORG;JB-ADD-SEQUENCC-TEAM-1Y-USER;JetBrains;JetBrains SequenceDiagram C/C++;ADD;SEQUENCC;TEAM;1Y;USER;
JB-PLG-sequencediagram-c-c-IND;JB-ADD-SEQUENCC-IND-1Y-USER;JetBrains;JetBrains SequenceDiagram C/C++ (личная);ADD;SEQUENCC;IND;1Y;USER;
JB-PLG-sequencediagram-core-ORG;JB-ADD-SEQUENC-TEAM-1Y-USER;JetBrains;JetBrains SequenceDiagram Core;ADD;SEQUENC;TEAM;1Y;USER;
JB-PLG-sequencediagram-core-IND;JB-ADD-SEQUENC-IND-1Y-USER;JetBrains;JetBrains SequenceDiagram Core (личная);ADD;SEQUENC;IND;1Y;USER;
JB-PLG-sequencediagram-go-ORG;JB-ADD-SEQUENG-TEAM-1Y-USER;JetBrains;JetBrains SequenceDiagram Go;ADD;SEQUENG;TEAM;1Y;USER;
JB-PLG-sequencediagram-go-IND;JB-ADD-SEQUENG-IND-1Y-USER;JetBrains;JetBrains SequenceDiagram Go (личная);ADD;SEQUENG;IND;1Y;USER;
JB-PLG-sequencediagram-js-ORG;JB-ADD-SEQUENJ-TEAM-1Y-USER;JetBrains;JetBrains SequenceDiagram JS;ADD;SEQUENJ;TEAM;1Y;USER;
JB-PLG-sequencediagram-js-IND;JB-ADD-SEQUENJ-IND-1Y-USER;JetBrains;JetBrains SequenceDiagram JS (личная);ADD;SEQUENJ;IND;1Y;USER;
JB-PLG-sequencediagram-python-ORG;JB-ADD-SEQUENP-TEAM-1Y-USER;JetBrains;JetBrains SequenceDiagram Python;ADD;SEQUENP;TEAM;1Y;USER;
JB-PLG-sequencediagram-python-IND;JB-ADD-SEQUENP-IND-1Y-USER;JetBrains;JetBrains SequenceDiagram Python (личная);ADD;SEQUENP;IND;1Y;USER;
JB-PLG-sequencediagram-rust-ORG;JB-ADD-SEQUENR-TEAM-1Y-USER;JetBrains;JetBrains SequenceDiagram Rust;ADD;SEQUENR;TEAM;1Y;USER;
JB-PLG-sequencediagram-rust-IND;JB-ADD-SEQUENR-IND-1Y-USER;JetBrains;JetBrains SequenceDiagram Rust (личная);ADD;SEQUENR;IND;1Y;USER;
JB-PLG-sequencediagram-org-ORG;JB-ADD-SEQUENO-TEAM-1Y-USER;JetBrains;JetBrains SequenceDiagram.org;ADD;SEQUENO;TEAM;1Y;USER;
JB-PLG-sequencediagram-org-IND;JB-ADD-SEQUENO-IND-1Y-USER;JetBrains;JetBrains SequenceDiagram.org (личная);ADD;SEQUENO;IND;1Y;USER;
JB-PLG-sequenceoutline-ORG;JB-ADD-SEQUENCEOUTL-TEAM-1Y-USER;JetBrains;JetBrains SequenceOutline;ADD;SEQUENCEOUTL;TEAM;1Y;USER;
JB-PLG-sequenceoutline-IND;JB-ADD-SEQUENCEOUTL-IND-1Y-USER;JetBrains;JetBrains SequenceOutline (личная);ADD;SEQUENCEOUTL;IND;1Y;USER;
JB-PLG-serena-ORG;JB-ADD-SERENA-TEAM-1Y-USER;JetBrains;JetBrains Serena;ADD;SERENA;TEAM;1Y;USER;
JB-PLG-serena-IND;JB-ADD-SERENA-IND-1Y-USER;JetBrains;JetBrains Serena (личная);ADD;SERENA;IND;1Y;USER;
JB-PLG-serverless-insight-ORG;JB-ADD-SERVERI-TEAM-1Y-USER;JetBrains;JetBrains Serverless Insight;ADD;SERVERI;TEAM;1Y;USER;
JB-PLG-serverless-insight-IND;JB-ADD-SERVERI-IND-1Y-USER;JetBrains;JetBrains Serverless Insight (личная);ADD;SERVERI;IND;1Y;USER;
JB-PLG-service-links-ORG;JB-ADD-SERVICELINKS-TEAM-1Y-USER;JetBrains;JetBrains Service Links;ADD;SERVICELINKS;TEAM;1Y;USER;
JB-PLG-service-links-IND;JB-ADD-SERVICELINKS-IND-1Y-USER;JetBrains;JetBrains Service Links (личная);ADD;SERVICELINKS;IND;1Y;USER;
JB-PLG-shopware-ORG;JB-ADD-SHOPWARE-TEAM-1Y-USER;JetBrains;JetBrains Shopware;ADD;SHOPWARE;TEAM;1Y;USER;
JB-PLG-shopware-IND;JB-ADD-SHOPWARE-IND-1Y-USER;JetBrains;JetBrains Shopware (личная);ADD;SHOPWARE;IND;1Y;USER;
JB-PLG-simple-object-copy-ORG;JB-ADD-SIMPLEOC-TEAM-1Y-USER;JetBrains;JetBrains Simple Object Copy;ADD;SIMPLEOC;TEAM;1Y;USER;
JB-PLG-simple-object-copy-IND;JB-ADD-SIMPLEOC-IND-1Y-USER;JetBrains;JetBrains Simple Object Copy (личная);ADD;SIMPLEOC;IND;1Y;USER;
JB-PLG-simpli-forge-manifest-validator-ORG;JB-ADD-SIMPLIFMV-TEAM-1Y-USER;JetBrains;JetBrains Simpli Forge Manifest Validator;ADD;SIMPLIFMV;TEAM;1Y;USER;
JB-PLG-simpli-forge-manifest-validator-IND;JB-ADD-SIMPLIFMV-IND-1Y-USER;JetBrains;JetBrains Simpli Forge Manifest Validator (личная);ADD;SIMPLIFMV;IND;1Y;USER;
JB-PLG-skol-ORG;JB-ADD-SKOL-TEAM-1Y-USER;JetBrains;JetBrains Skol;ADD;SKOL;TEAM;1Y;USER;
JB-PLG-skol-IND;JB-ADD-SKOL-IND-1Y-USER;JetBrains;JetBrains Skol (личная);ADD;SKOL;IND;1Y;USER;
JB-PLG-slopguard-formerly-entropyguard-ORG;JB-ADD-SLOPGUFE-TEAM-1Y-USER;JetBrains;JetBrains SlopGuard [formerly EntropyGuard];ADD;SLOPGUFE;TEAM;1Y;USER;
JB-PLG-slopguard-formerly-entropyguard-IND;JB-ADD-SLOPGUFE-IND-1Y-USER;JetBrains;JetBrains SlopGuard [formerly EntropyGuard] (личная);ADD;SLOPGUFE;IND;1Y;USER;
JB-PLG-slow-build-hotspots-ORG;JB-ADD-SLOWBH-TEAM-1Y-USER;JetBrains;JetBrains Slow Build Hotspots;ADD;SLOWBH;TEAM;1Y;USER;
JB-PLG-slow-build-hotspots-IND;JB-ADD-SLOWBH-IND-1Y-USER;JetBrains;JetBrains Slow Build Hotspots (личная);ADD;SLOWBH;IND;1Y;USER;
JB-PLG-smart-hugo-ORG;JB-ADD-SMARTHUGO-TEAM-1Y-USER;JetBrains;JetBrains Smart Hugo;ADD;SMARTHUGO;TEAM;1Y;USER;
JB-PLG-smart-hugo-IND;JB-ADD-SMARTHUGO-IND-1Y-USER;JetBrains;JetBrains Smart Hugo (личная);ADD;SMARTHUGO;IND;1Y;USER;
JB-PLG-smart-input-pro-japan-south-korea-russia-and-mor-ORG;JB-ADD-SMARTIPJSKRA-TEAM-1Y-USER;JetBrains;JetBrains Smart Input Pro (Japan, South Korea, Russia & more);ADD;SMARTIPJSKRA;TEAM;1Y;USER;
JB-PLG-smart-input-pro-japan-south-korea-russia-and-mor-IND;JB-ADD-SMARTIPJSKRA-IND-1Y-USER;JetBrains;JetBrains Smart Input Pro (Japan, South Korea, Russia & more) (личная);ADD;SMARTIPJSKRA;IND;1Y;USER;
JB-PLG-smart-jump-ORG;JB-ADD-SMARTJUMP-TEAM-1Y-USER;JetBrains;JetBrains Smart Jump;ADD;SMARTJUMP;TEAM;1Y;USER;
JB-PLG-smart-jump-IND;JB-ADD-SMARTJUMP-IND-1Y-USER;JetBrains;JetBrains Smart Jump (личная);ADD;SMARTJUMP;IND;1Y;USER;
JB-PLG-smart-sql-generation-ORG;JB-ADD-SMARTSG-TEAM-1Y-USER;JetBrains;JetBrains Smart SQL Generation;ADD;SMARTSG;TEAM;1Y;USER;
