old_sku;new_sku;vendor;name;kind;product;plan;term;unit;variant
JB-PLG-mavensearcher-ORG;JB-ADD-MAVENSEARCHE-TEAM-1Y-USER;JetBrains;JetBrains MavenSearcher;ADD;MAVENSEARCHE;TEAM;1Y;USER;
JB-PLG-mavensearcher-IND;JB-ADD-MAVENSEARCHE-IND-1Y-USER;JetBrains;JetBrains MavenSearcher (личная);ADD;MAVENSEARCHE;IND;1Y;USER;
JB-PLG-mermaid-editor-pro-ORG;JB-ADD-MERMAIEP-TEAM-1Y-USER;JetBrains;JetBrains Mermaid Editor Pro;ADD;MERMAIEP;TEAM;1Y;USER;
JB-PLG-mermaid-editor-pro-IND;JB-ADD-MERMAIEP-IND-1Y-USER;JetBrains;JetBrains Mermaid Editor Pro (личная);ADD;MERMAIEP;IND;1Y;USER;
JB-PLG-mermaid-studio-ORG;JB-ADD-MERMAIS-TEAM-1Y-USER;JetBrains;JetBrains Mermaid Studio;ADD;MERMAIS;TEAM;1Y;USER;
JB-PLG-mermaid-studio-IND;JB-ADD-MERMAIS-IND-1Y-USER;JetBrains;JetBrains Mermaid Studio (личная);ADD;MERMAIS;IND;1Y;USER;
JB-PLG-mermaid-studio-core-ORG;JB-ADD-MERMAISC-TEAM-1Y-USER;JetBrains;JetBrains Mermaid Studio Core;ADD;MERMAISC;TEAM;1Y;USER;
JB-PLG-mermaid-studio-core-IND;JB-ADD-MERMAISC-IND-1Y-USER;JetBrains;JetBrains Mermaid Studio Core (личная);ADD;MERMAISC;IND;1Y;USER;
JB-PLG-merrylab-integration-for-gitlab-ORG;JB-ADD-MERRYLIFG-TEAM-1Y-USER;JetBrains;JetBrains MerryLab — Integration for GitLab;ADD;MERRYLIFG;TEAM;1Y;USER;
JB-PLG-merrylab-integration-for-gitlab-IND;JB-ADD-MERRYLIFG-IND-1Y-USER;JetBrains;JetBrains MerryLab — Integration for GitLab (личная);ADD;MERRYLIFG;IND;1Y;USER;
JB-PLG-metal-gpu-monitor-ORG;JB-ADD-METALGM-TEAM-1Y-USER;JetBrains;JetBrains Metal GPU Monitor;ADD;METALGM;TEAM;1Y;USER;
JB-PLG-metal-gpu-monitor-IND;JB-ADD-METALGM-IND-1Y-USER;JetBrains;JetBrains Metal GPU Monitor (личная);ADD;METALGM;IND;1Y;USER;
JB-PLG-metal-shader-support-ORG;JB-ADD-METALSS-TEAM-1Y-USER;JetBrains;JetBrains Metal Shader Support;ADD;METALSS;TEAM;1Y;USER;
JB-PLG-metal-shader-support-IND;JB-ADD-METALSS-IND-1Y-USER;JetBrains;JetBrains Metal Shader Support (личная);ADD;METALSS;IND;1Y;USER;
JB-PLG-micropython-tools-ORG;JB-ADD-MICROPT-TEAM-1Y-USER;JetBrains;JetBrains MicroPython Tools;ADD;MICROPT;TEAM;1Y;USER;
JB-PLG-micropython-tools-IND;JB-ADD-MICROPT-IND-1Y-USER;JetBrains;JetBrains MicroPython Tools (личная);ADD;MICROPT;IND;1Y;USER;
