path,page_type,tier,gips,gips_base,serp_queries_held,serp_weakness_avg,likely_cause,google_state,google_crawled,google_indexed,google_last_crawl,google_impressions,google_clicks,google_position,google_serp_position,yandex_state,yandex_excluded_reason,yandex_position,yandex_query,lastmod
/vendors/cloudflare,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/cubase,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/deepl,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/discord,vendor,TIER 2,62,62,0,0,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/docker,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/dropbox,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/fl-studio,vendor,TIER 2,62,62,0,0,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/gamma,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/github,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/grammarly,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/higgsfield,vendor,TIER 2,62,62,0,0,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/izotope,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/jasper,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/kimi,vendor,TIER 2,62,62,0,0,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/kling-ai,vendor,TIER 2,62,62,0,0,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/krea,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/lansweeper,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/lovable,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/lumion,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/microsoft,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/n8n,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/parallels,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/principle,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/sentry,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/sketchup,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/solidworks,vendor,TIER 2,62,62,0,0,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/suno,vendor,TIER 2,62,62,0,0,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/teamviewer,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/think-cell,vendor,TIER 2,62,62,0,0,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/winrar,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/wordpress,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/zoho,vendor,TIER 2,62,62,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/catalog/ai/audio,category,TIER 3,57,57,0,0,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/catalog/ai/code,category,TIER 3,57,57,0,0,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/catalog/ai/enterprise,category,TIER 3,57,57,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/catalog/ai/image,category,TIER 3,57,57,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/catalog/ai/marketing,category,TIER 3,57,57,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/catalog/ai/office,category,TIER 3,57,57,0,0,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/catalog/ai/text,category,TIER 3,57,57,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/catalog/ai/video,category,TIER 3,57,57,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/catalog/architecture,category,TIER 3,57,57,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/catalog/endpoint,category,TIER 3,57,57,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/catalog/gift-cards,category,TIER 3,57,57,0,0,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/catalog/helpdesk,category,TIER 3,57,57,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/catalog/iam,category,TIER 3,57,57,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/catalog/media,category,TIER 3,57,57,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/catalog/web,category,TIER 3,57,57,0,0,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
