path,page_type,tier,gips,likely_cause,google_state,google_crawled,google_indexed,google_last_crawl,google_impressions,google_clicks,google_position,google_serp_position,yandex_state,yandex_excluded_reason,yandex_position,yandex_query,lastmod
/vendors/acronis,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/airalo,vendor,TIER 2,62,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/anydesk,vendor,TIER 2,62,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/apple,vendor,TIER 2,62,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/binance,vendor,TIER 2,62,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/bitdefender,vendor,TIER 2,62,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/box,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/browserstack,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/capcut,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/cloudflare,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/cubase,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/deepl,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/discord,vendor,TIER 2,62,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/docker,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/dropbox,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/fl-studio,vendor,TIER 2,62,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/gamma,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/github,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/grammarly,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/higgsfield,vendor,TIER 2,62,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/izotope,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/jasper,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/kimi,vendor,TIER 2,62,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/kling-ai,vendor,TIER 2,62,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/krea,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/lansweeper,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/lovable,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/lumion,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/microsoft,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/n8n,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/parallels,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/principle,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/sentry,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/sketchup,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/solidworks,vendor,TIER 2,62,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/suno,vendor,TIER 2,62,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/teamviewer,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/think-cell,vendor,TIER 2,62,A: URL discovery,URL is unknown to Google,False,False,,0,0,,,in_search,,,,
/vendors/winrar,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/wordpress,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/vendors/zoho,vendor,TIER 2,62,B: crawl scheduling,Discovered - currently not indexed,False,False,,0,0,,,in_search,,,,
/catalog,catalog_hub,TIER 3,61,I: конкурентная выдача,Submitted and indexed,True,True,2026-09-05,10,0,3.2,,in_search,,,,
/vendors/adobe,vendor,TIER 3,61,H: authority/entity,Submitted and indexed,True,True,2026-08-22,2,0,28.5,,in_search,,,,
/vendors/avid,vendor,TIER 3,61,H: authority/entity,Submitted and indexed,True,True,2026-08-31,1,0,58,,in_search,,,,
/vendors/photon,vendor,TIER 3,61,I: конкурентная выдача,Submitted and indexed,True,True,2026-08-31,3,0,6.7,,in_search,,,,
/vendors/procreate,vendor,TIER 3,61,I: конкурентная выдача,Submitted and indexed,True,True,2026-08-29,4,0,4,,in_search,,,,
